用户id,是否付费,注册至今距离天数,最后一周登陆天数,最后一周登陆次数,最后一周0-8点登陆次数,最后一周8-18点登陆次数,最后一周18-24点登陆次数
786,0,1,1,3,0,2,1
787,0,4,4,17,0,15,2
788,0,6,3,7,0,7,0
789,1,7,7,41,2,23,16
790,1,7,7,36,6,17,13
791,0,1,1,2,0,2,0
792,0,6,6,40,3,26,11
793,0,7,7,48,10,26,12
794,0,2,2,3,0,3,0
795,1,7,7,38,12,18,8
796,0,7,7,52,9,22,21
797,0,2,1,5,0,4,1
798,1,2,2,7,3,1,3
799,0,2,2,2,1,1,0
800,0,7,7,38,0,30,8
801,1,7,7,61,9,30,22
802,0,1,1,1,0,1,0
803,0,1,1,1,0,0,1
804,0,6,4,5,0,5,0
805,0,1,1,4,1,3,0
806,0,4,4,10,1,9,0
807,1,7,7,85,18,45,22
808,1,7,7,62,14,34,14
809,0,1,1,6,2,4,0
810,0,2,2,2,0,2,0
811,0,4,4,24,4,17,3
812,0,7,7,65,16,27,22
813,0,5,3,8,2,4,2
814,0,6,6,10,2,6,2
815,0,2,1,1,0,0,1
816,0,7,2,2,0,2,0
817,0,2,2,10,0,7,3
818,0,0,1,1,0,1,0
819,0,6,4,4,0,0,4
820,0,7,6,11,2,5,4
821,0,7,3,6,1,3,2
822,0,7,3,3,0,2,1
823,0,7,7,31,13,15,3
824,0,4,2,2,0,2,0
825,0,7,6,7,0,4,3
826,0,1,1,1,1,0,0
827,0,7,3,4,0,4,0
828,0,7,2,2,0,1,1
829,0,7,1,1,0,1,0
830,0,7,3,4,0,4,0
831,0,7,2,2,0,2,0
832,0,7,3,3,0,3,0
833,0,3,3,5,0,4,1
834,0,2,1,1,0,1,0
835,0,7,5,9,0,9,0
836,0,5,2,2,0,1,1
837,0,7,7,72,1,44,27
838,0,7,2,2,0,2,0
839,0,7,2,2,0,2,0
840,0,7,2,2,0,2,0
841,0,7,2,3,0,3,0
842,0,7,3,4,0,4,0
843,0,2,1,2,0,2,0
844,0,7,1,1,0,1,0
845,0,6,3,4,0,4,0
846,0,7,3,4,0,2,2
847,0,7,3,4,0,3,1
848,0,4,4,26,9,9,8
849,0,7,6,8,0,8,0
850,0,7,1,1,0,1,0
851,0,7,7,8,0,4,4
852,0,4,1,1,0,1,0
853,0,1,1,1,0,1,0
854,0,7,4,4,0,3,1
855,0,7,3,3,0,2,1
856,0,7,2,2,0,2,0
857,0,1,1,1,0,1,0
858,0,2,2,4,0,3,1
859,0,6,4,5,0,4,1
860,0,7,7,20,12,5,3
861,0,7,1,2,0,2,0
862,0,7,4,5,0,5,0
863,0,2,1,1,0,1,0
864,0,7,3,3,0,3,0
865,0,7,5,7,0,6,1
866,0,7,2,2,0,2,0
867,0,7,7,91,21,45,25
868,0,7,6,7,0,6,1
869,0,7,2,3,0,3,0
870,0,7,3,4,0,4,0
871,0,7,2,2,0,2,0
872,0,7,2,3,0,3,0
873,0,7,2,2,0,2,0
874,0,2,1,1,0,1,0
875,0,7,3,3,0,3,0
876,0,7,3,3,0,3,0
877,0,7,3,6,0,3,3
878,0,7,3,3,0,3,0
879,0,4,3,3,0,2,1
880,0,2,2,2,0,2,0
881,0,7,5,6,0,6,0
882,0,4,2,2,0,2,0
883,0,7,6,10,1,9,0
884,0,7,7,77,19,41,17
885,0,7,4,5,0,5,0
886,0,7,3,4,0,3,1
887,0,7,5,6,0,6,0
888,0,7,5,6,0,6,0
889,0,2,2,2,0,2,0
890,0,6,4,4,0,3,1
891,0,7,1,1,0,1,0
892,0,7,2,2,0,2,0
893,0,7,2,2,0,2,0
894,0,7,4,5,0,5,0
895,0,7,1,1,0,0,1
896,0,7,3,3,0,2,1
897,0,4,4,5,0,5,0
898,0,4,4,20,1,18,1
899,0,2,1,1,0,1,0
900,0,7,6,7,0,5,2
901,0,7,5,7,0,6,1
902,0,7,6,7,0,5,2
903,0,7,7,18,1,5,12
904,0,7,1,1,0,1,0
905,0,7,1,3,0,3,0
906,0,7,2,2,0,2,0
907,0,7,6,7,0,5,2
908,0,1,1,1,0,1,0
909,0,7,2,2,0,2,0
910,0,2,2,4,0,3,1
911,0,6,6,16,0,13,3
912,0,4,1,1,0,0,1
913,0,7,3,4,0,4,0
914,0,7,4,5,0,3,2
915,0,2,2,3,0,2,1
916,0,2,2,12,0,9,3
917,0,7,2,2,0,2,0
918,0,7,3,3,0,3,0
919,0,7,3,3,0,3,0
920,0,7,4,5,0,2,3
921,0,1,1,1,0,1,0
922,0,6,6,9,3,4,2
923,0,7,3,6,0,3,3
924,0,7,2,3,0,3,0
925,0,7,7,19,5,10,4
926,0,7,3,3,0,2,1
927,0,1,1,1,0,1,0
928,0,7,4,4,0,4,0
929,0,7,2,3,0,3,0
930,0,7,2,3,0,3,0
931,0,7,2,2,0,2,0
932,0,7,2,2,0,2,0
933,0,7,2,4,0,2,2
934,0,7,1,1,0,1,0
935,0,3,2,2,0,1,1
936,0,7,3,4,0,2,2
937,0,2,1,1,0,1,0
938,0,7,2,2,0,2,0
939,0,7,7,75,22,38,15
940,0,7,5,33,7,18,8
941,0,7,4,5,0,5,0
942,0,7,1,2,0,2,0
943,0,7,2,5,0,4,1
944,0,1,1,1,0,1,0
945,0,7,2,3,0,3,0
946,0,1,1,1,0,0,1
947,0,7,5,7,0,7,0
948,0,7,7,25,2,19,4
949,0,7,2,2,0,1,1
950,0,2,2,4,0,4,0
951,0,2,2,6,3,2,1
952,0,7,7,44,12,21,11
953,0,3,3,4,0,2,2
954,0,1,1,1,0,1,0
955,0,5,4,10,3,4,3
956,0,1,1,1,0,0,1
957,0,7,2,2,0,2,0
958,1,4,4,43,9,21,13
959,1,7,7,77,20,41,16
960,1,7,7,26,7,14,5
961,0,1,2,7,1,4,2
962,1,7,7,79,11,47,21
963,0,7,7,32,7,20,5
964,0,1,1,1,0,1,0
965,0,7,7,134,39,63,32
966,0,7,3,3,0,3,0
967,0,1,1,6,1,4,1
968,0,7,7,26,3,19,4
969,0,7,2,2,0,2,0
970,0,5,5,11,3,6,2
